[2022-4-15 1:52:55] OPTIONS:/api/cats 200 0.07 ms
[2022-4-15 1:52:55] OPTIONS:/api/users/6257ed2854d6bf57eee2cbbb 200 0.004 ms
[2022-4-15 1:52:55] OPTIONS:/api/users/6257ed2854d6bf57eee2cbbb 200 0.005 ms
[2022-4-15 1:52:55] OPTIONS:/api/cats/6258731085b48601feef8cb5/comments/ 200 0.003 ms
[2022-4-15 1:52:59] GET:/login 200 0.002 ms
[2022-4-15 1:53:33] OPTIONS:/api/cats 200 0.002 ms
[2022-4-15 1:53:33] OPTIONS:/api/users/6257ed2854d6bf57eee2cbbb 200 0.01 ms
[2022-4-15 1:53:33] OPTIONS:/api/users/6257ed2854d6bf57eee2cbbb 200 0.004 ms
[2022-4-15 1:53:33] OPTIONS:/api/cats/6258731085b48601feef8cb5/comments/ 200 0.004 ms
[2022-4-15 1:53:42] GET:/login 200 0.003 ms
[2022-4-15 2:15:33] OPTIONS:/api/auth/login 200 0.072 ms
[2022-4-15 2:15:33] POST:/api/auth/login 200 0.002 ms
[2022-4-15 2:15:36] POST:/api/auth/login 200 0.002 ms
[2022-4-15 2:15:49] OPTIONS:/api/auth/login 200 0.002 ms
[2022-4-15 2:15:49] POST:/api/auth/login 200 0.002 ms
[2022-4-15 2:15:51] POST:/api/auth/login 200 0.002 ms
[2022-4-15 2:18:40] OPTIONS:/api/auth/login 200 0.003 ms
[2022-4-15 2:18:40] POST:/api/auth/login 200 0.002 ms
[2022-4-15 2:18:42] POST:/api/auth/login 200 0.003 ms
[2022-4-15 2:18:45] POST:/api/auth/login 200 0.006 ms
[2022-4-15 2:18:45] POST:/api/auth/login 200 0.003 ms
[2022-4-15 2:18:45] POST:/api/auth/login 200 0.003 ms
[2022-4-15 2:18:45] POST:/api/auth/login 200 0.002 ms
[2022-4-15 2:19:10] OPTIONS:/api/auth/login 200 0.001 ms
[2022-4-15 2:19:10] POST:/api/auth/login 200 0.002 ms
[2022-4-15 2:19:19] OPTIONS:/api/auth/login 200 0.004 ms
[2022-4-15 2:19:19] POST:/api/auth/login 200 0.002 ms
[2022-4-15 2:20:17] OPTIONS:/api/auth/login 200 0.002 ms
[2022-4-15 2:20:17] POST:/api/auth/login 200 0.002 ms
[2022-4-16 1:50:22] OPTIONS:/api/cats 200 0.04 ms
[2022-4-16 1:50:22] OPTIONS:/api/users/null 200 0.002 ms
[2022-4-16 1:50:22] OPTIONS:/api/users/null 200 0.002 ms
[2022-4-16 1:50:22] GET:/api/cats 200 0.002 ms
